tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
4,bachelor,bachelor.wav,bachelor.png,AudNoG
,,blank.wav,aud.png,
6,function,function.wav,function.png,VisIncon
,,blank.wav,aud.png,
6,couple,couple.wav,couple.png,VisIncon
,,blank.wav,nose.png,
7,hand,hand.wav,hand.png,VisIrre
,,blank.wav,nose.png,
7,cork,cork.wav,cork.png,VisIrre
,,blank.wav,vis.png,
5,eruption,eruption.wav,eruption.png,VisCong
,,blank.wav,nose.png,
3,success,success.wav,success.png,AudIrre
,,blank.wav,aud.png,
6,germ,germ.wav,germ.png,VisIncon
,,blank.wav,x.png,
8,language,language.wav,language.png,VisNoG
,,blank.wav,x.png,
4,church,church.wav,church.png,AudNoG
,,blank.wav,x.png,
8,scarf,scarf.wav,scarf.png,VisNoG
,,blank.wav,x.png,
8,effect,effect.wav,effect.png,VisNoG
,,blank.wav,vis.png,
5,massage,massage.wav,massage.png,VisCong
,,blank.wav,x.png,
4,adviser,adviser.wav,adviser.png,AudNoG
,,blank.wav,x.png,
8,dinosaur,dinosaur.wav,dinosaur.png,VisNoG
,,blank.wav,vis.png,
2,water,water.wav,water.png,AudIncon
,,blank.wav,nose.png,
7,harp,harp.wav,harp.png,VisIrre
,,blank.wav,aud.png,
1,diamond,diamond.wav,diamond.png,AudCong
,,blank.wav,aud.png,
1,accordion,accordion.wav,accordion.png,AudCong
,,blank.wav,nose.png,
7,movement,movement.wav,movement.png,VisIrre
,,blank.wav,vis.png,
5,pet,pet.wav,pet.png,VisCong
,,blank.wav,nose.png,
3,fireman,fireman.wav,fireman.png,AudIrre
,,blank.wav,nose.png,
3,bruise,bruise.wav,bruise.png,AudIrre
,,blank.wav,vis.png,
2,astronaut,astronaut.wav,astronaut.png,AudIncon
,,blank.wav,aud.png,
1,frog,frog.wav,frog.png,AudCong
,,blank.wav,vis.png,
5,martian,martian.wav,martian.png,VisCong
,,blank.wav,nose.png,
7,butcher,butcher.wav,butcher.png,VisIrre
,,blank.wav,aud.png,
6,community,community.wav,community.png,VisIncon
,,blank.wav,vis.png,
5,system,system.wav,system.png,VisCong
,,blank.wav,aud.png,
1,symptom,symptom.wav,symptom.png,AudCong
,,blank.wav,aud.png,
1,truth,truth.wav,truth.png,AudCong
,,blank.wav,vis.png,
2,butterfly,butterfly.wav,butterfly.png,AudIncon
,,blank.wav,x.png,
4,government,government.wav,government.png,AudNoG
,,blank.wav,x.png,
4,anarchy,anarchy.wav,anarchy.png,AudNoG
,,blank.wav,vis.png,
2,eyebrow,eyebrow.wav,eyebrow.png,AudIncon
,,blank.wav,x.png,
8,vowel,vowel.wav,vowel.png,VisNoG
,,blank.wav,nose.png,
3,distance,distance.wav,distance.png,AudIrre
,,blank.wav,aud.png,
6,teacher,teacher.wav,teacher.png,VisIncon
,,blank.wav,nose.png,
3,crib,crib.wav,crib.png,AudIrre
,,blank.wav,vis.png,
2,result,result.wav,result.png,AudIncon
