tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
6,athlete,athlete.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,turtle,blank.wav,turtle.png,VisIrre
,,blank.wav,vis.png,
7,flea,blank.wav,flea.png,VisCong
,,blank.wav,x.png,
2,woman,blank.wav,woman.png,VisNoG
,,blank.wav,vis.png,
4,secret,secret.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,age,blank.wav,age.png,VisNoG
,,blank.wav,nose.png,
5,liar,liar.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,pumpkin,blank.wav,pumpkin.png,VisIrre
,,blank.wav,x.png,
2,island,blank.wav,island.png,VisNoG
,,blank.wav,x.png,
6,heart,heart.wav,blank.png,AudNoG
,,blank.wav,aud.png,
3,flu,flu.wav,blank.png,AudCong
,,blank.wav,aud.png,
8,idol,blank.wav,idol.png,VisIncon
,,blank.wav,aud.png,
8,galaxy,blank.wav,galaxy.png,VisIncon
,,blank.wav,x.png,
6,paper,paper.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,window,blank.wav,window.png,VisIrre
,,blank.wav,vis.png,
7,moment,blank.wav,moment.png,VisCong
,,blank.wav,nose.png,
5,death,death.wav,blank.png,AudIrre
,,blank.wav,aud.png,
8,tiger,blank.wav,tiger.png,VisIncon
,,blank.wav,vis.png,
4,kidney,kidney.wav,blank.png,AudIncon
,,blank.wav,nose.png,
1,umbrella,blank.wav,umbrella.png,VisIrre
,,blank.wav,nose.png,
5,volcano,volcano.wav,blank.png,AudIrre
,,blank.wav,x.png,
2,celery,blank.wav,celery.png,VisNoG
,,blank.wav,nose.png,
5,ankle,ankle.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,art,art.wav,blank.png,AudNoG
,,blank.wav,aud.png,
3,pronoun,pronoun.wav,blank.png,AudCong
,,blank.wav,vis.png,
7,mayonnaise,blank.wav,mayonnaise.png,VisCong
,,blank.wav,aud.png,
3,hammock,hammock.wav,blank.png,AudCong
,,blank.wav,vis.png,
4,sponge,sponge.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,bucket,blank.wav,bucket.png,VisNoG
,,blank.wav,vis.png,
4,interest,interest.wav,blank.png,AudIncon
,,blank.wav,aud.png,
8,alligator,blank.wav,alligator.png,VisIncon
,,blank.wav,vis.png,
7,fire,blank.wav,fire.png,VisCong
,,blank.wav,x.png,
6,night,night.wav,blank.png,AudNoG
,,blank.wav,aud.png,
8,condition,blank.wav,condition.png,VisIncon
,,blank.wav,nose.png,
5,love,love.wav,blank.png,AudIrre
,,blank.wav,vis.png,
7,bakery,blank.wav,bakery.png,VisCong
,,blank.wav,aud.png,
3,glue,glue.wav,blank.png,AudCong
,,blank.wav,aud.png,
3,theory,theory.wav,blank.png,AudCong
,,blank.wav,nose.png,
1,mother,blank.wav,mother.png,VisIrre
,,blank.wav,vis.png,
4,earth,earth.wav,blank.png,AudIncon
