tag,English,AudioFile,Icon,Modality
    ,,blank.wav,aud.png,
6,function,function.wav,blank.png,AudCong
,,blank.wav,aud.png,
6,germ,germ.wav,blank.png,AudCong
,,blank.wav,vis.png,
7,hand,hand.wav,blank.png,AudIncon
,,blank.wav,aud.png,
3,success,blank.wav,success.png,VisIncon
,,blank.wav,nose.png,
8,dinosaur,dinosaur.wav,blank.png,AudIrre
,,blank.wav,x.png,
5,system,blank.wav,system.png,VisNoG
,,blank.wav,nose.png,
4,bachelor,blank.wav,bachelor.png,VisIrre
,,blank.wav,x.png,
5,eruption,blank.wav,eruption.png,VisNoG
,,blank.wav,x.png,
1,diamond,diamond.wav,blank.png,AudNoG
,,blank.wav,nose.png,
8,effect,effect.wav,blank.png,AudIrre
,,blank.wav,vis.png,
2,butterfly,blank.wav,butterfly.png,VisCong
,,blank.wav,vis.png,
2,eyebrow,blank.wav,eyebrow.png,VisCong
,,blank.wav,x.png,
5,martian,blank.wav,martian.png,VisNoG
,,blank.wav,x.png,
1,truth,truth.wav,blank.png,AudNoG
,,blank.wav,x.png,
1,frog,frog.wav,blank.png,AudNoG
,,blank.wav,vis.png,
2,water,blank.wav,water.png,VisCong
,,blank.wav,vis.png,
7,cork,cork.wav,blank.png,AudIncon
,,blank.wav,aud.png,
6,couple,couple.wav,blank.png,AudCong
,,blank.wav,vis.png,
7,movement,movement.wav,blank.png,AudIncon
,,blank.wav,x.png,
5,pet,blank.wav,pet.png,VisNoG
,,blank.wav,x.png,
1,accordion,accordion.wav,blank.png,AudNoG
,,blank.wav,aud.png,
6,teacher,teacher.wav,blank.png,AudCong
,,blank.wav,aud.png,
6,community,community.wav,blank.png,AudCong
,,blank.wav,nose.png,
4,government,blank.wav,government.png,VisIrre
,,blank.wav,aud.png,
3,bruise,blank.wav,bruise.png,VisIncon
,,blank.wav,nose.png,
8,vowel,vowel.wav,blank.png,AudIrre
,,blank.wav,aud.png,
3,crib,blank.wav,crib.png,VisIncon
,,blank.wav,nose.png,
4,church,blank.wav,church.png,VisIrre
,,blank.wav,vis.png,
7,harp,harp.wav,blank.png,AudIncon
,,blank.wav,vis.png,
2,astronaut,blank.wav,astronaut.png,VisCong
,,blank.wav,nose.png,
8,language,language.wav,blank.png,AudIrre
,,blank.wav,x.png,
1,symptom,symptom.wav,blank.png,AudNoG
,,blank.wav,aud.png,
3,fireman,blank.wav,fireman.png,VisIncon
,,blank.wav,nose.png,
4,anarchy,blank.wav,anarchy.png,VisIrre
,,blank.wav,vis.png,
7,butcher,butcher.wav,blank.png,AudIncon
,,blank.wav,aud.png,
3,distance,blank.wav,distance.png,VisIncon
,,blank.wav,nose.png,
8,scarf,scarf.wav,blank.png,AudIrre
,,blank.wav,x.png,
5,massage,blank.wav,massage.png,VisNoG
,,blank.wav,nose.png,
4,adviser,blank.wav,adviser.png,VisIrre
,,blank.wav,vis.png,
2,result,blank.wav,result.png,VisCong
