tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
1,truth,blank.wav,truth.png,VisIrre
,,blank.wav,x.png,
6,couple,couple.wav,blank.png,AudNoG
,,blank.wav,x.png,
2,butterfly,blank.wav,butterfly.png,VisNoG
,,blank.wav,aud.png,
8,effect,blank.wav,effect.png,VisIncon
,,blank.wav,aud.png,
8,language,blank.wav,language.png,VisIncon
,,blank.wav,x.png,
2,result,blank.wav,result.png,VisNoG
,,blank.wav,x.png,
6,function,function.wav,blank.png,AudNoG
,,blank.wav,aud.png,
8,vowel,blank.wav,vowel.png,VisIncon
,,blank.wav,nose.png,
1,symptom,blank.wav,symptom.png,VisIrre
,,blank.wav,vis.png,
7,movement,blank.wav,movement.png,VisCong
,,blank.wav,vis.png,
7,hand,blank.wav,hand.png,VisCong
,,blank.wav,aud.png,
8,dinosaur,blank.wav,dinosaur.png,VisIncon
,,blank.wav,aud.png,
3,crib,crib.wav,blank.png,AudCong
,,blank.wav,aud.png,
3,fireman,fireman.wav,blank.png,AudCong
,,blank.wav,nose.png,
5,system,system.wav,blank.png,AudIrre
,,blank.wav,nose.png,
5,massage,massage.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,diamond,blank.wav,diamond.png,VisIrre
,,blank.wav,vis.png,
4,adviser,adviser.wav,blank.png,AudIncon
,,blank.wav,aud.png,
3,distance,distance.wav,blank.png,AudCong
,,blank.wav,vis.png,
7,harp,blank.wav,harp.png,VisCong
,,blank.wav,nose.png,
1,accordion,blank.wav,accordion.png,VisIrre
,,blank.wav,x.png,
2,astronaut,blank.wav,astronaut.png,VisNoG
,,blank.wav,x.png,
6,teacher,teacher.wav,blank.png,AudNoG
,,blank.wav,vis.png,
7,butcher,blank.wav,butcher.png,VisCong
,,blank.wav,vis.png,
7,cork,blank.wav,cork.png,VisCong
,,blank.wav,aud.png,
3,success,success.wav,blank.png,AudCong
,,blank.wav,nose.png,
5,eruption,eruption.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,frog,blank.wav,frog.png,VisIrre
,,blank.wav,x.png,
2,eyebrow,blank.wav,eyebrow.png,VisNoG
,,blank.wav,vis.png,
4,bachelor,bachelor.wav,blank.png,AudIncon
,,blank.wav,x.png,
6,germ,germ.wav,blank.png,AudNoG
,,blank.wav,vis.png,
4,anarchy,anarchy.wav,blank.png,AudIncon
,,blank.wav,x.png,
6,community,community.wav,blank.png,AudNoG
,,blank.wav,nose.png,
5,martian,martian.wav,blank.png,AudIrre
,,blank.wav,aud.png,
3,bruise,bruise.wav,blank.png,AudCong
,,blank.wav,vis.png,
4,church,church.wav,blank.png,AudIncon
,,blank.wav,vis.png,
4,government,government.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,water,blank.wav,water.png,VisNoG
,,blank.wav,aud.png,
8,scarf,blank.wav,scarf.png,VisIncon
,,blank.wav,nose.png,
5,pet,pet.wav,blank.png,AudIrre
