tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
3,bruise,bruise.wav,bruise.png,AudNoG
,,blank.wav,x.png,
3,crib,crib.wav,crib.png,AudNoG
,,blank.wav,ear.png,
8,dinosaur,dinosaur.wav,dinosaur.png,AudCong
,,blank.wav,ear.png,
5,pet,pet.wav,pet.png,VisIncon
,,blank.wav,nose.png,
6,function,function.wav,function.png,VisIrre
,,blank.wav,nose.png,
2,butterfly,butterfly.wav,butterfly.png,AudIrre
,,blank.wav,ear.png,
8,language,language.wav,language.png,AudCong
,,blank.wav,nose.png,
6,germ,germ.wav,germ.png,VisIrre
,,blank.wav,eye.png,
4,anarchy,anarchy.wav,anarchy.png,VisCong
,,blank.wav,eye.png,
4,church,church.wav,church.png,VisCong
,,blank.wav,x.png,
3,distance,distance.wav,distance.png,AudNoG
,,blank.wav,nose.png,
6,couple,couple.wav,couple.png,VisIrre
,,blank.wav,x.png,
7,butcher,butcher.wav,butcher.png,VisNoG
,,blank.wav,nose.png,
2,eyebrow,eyebrow.wav,eyebrow.png,AudIrre
,,blank.wav,x.png,
3,fireman,fireman.wav,fireman.png,AudNoG
,,blank.wav,eye.png,
4,bachelor,bachelor.wav,bachelor.png,VisCong
,,blank.wav,ear.png,
5,martian,martian.wav,martian.png,VisIncon
,,blank.wav,nose.png,
2,water,water.wav,water.png,AudIrre
,,blank.wav,ear.png,
5,massage,massage.wav,massage.png,VisIncon
,,blank.wav,ear.png,
5,system,system.wav,system.png,VisIncon
,,blank.wav,eye.png,
4,government,government.wav,government.png,VisCong
,,blank.wav,eye.png,
1,symptom,symptom.wav,symptom.png,AudIncon
,,blank.wav,ear.png,
5,eruption,eruption.wav,eruption.png,VisIncon
,,blank.wav,nose.png,
2,astronaut,astronaut.wav,astronaut.png,AudIrre
,,blank.wav,ear.png,
8,vowel,vowel.wav,vowel.png,AudCong
,,blank.wav,eye.png,
1,accordion,accordion.wav,accordion.png,AudIncon
,,blank.wav,ear.png,
8,effect,effect.wav,effect.png,AudCong
,,blank.wav,eye.png,
1,diamond,diamond.wav,diamond.png,AudIncon
,,blank.wav,x.png,
7,cork,cork.wav,cork.png,VisNoG
,,blank.wav,eye.png,
1,frog,frog.wav,frog.png,AudIncon
,,blank.wav,nose.png,
6,community,community.wav,community.png,VisIrre
,,blank.wav,eye.png,
1,truth,truth.wav,truth.png,AudIncon
,,blank.wav,ear.png,
8,scarf,scarf.wav,scarf.png,AudCong
,,blank.wav,x.png,
3,success,success.wav,success.png,AudNoG
,,blank.wav,x.png,
7,movement,movement.wav,movement.png,VisNoG
,,blank.wav,nose.png,
6,teacher,teacher.wav,teacher.png,VisIrre
,,blank.wav,x.png,
7,hand,hand.wav,hand.png,VisNoG
,,blank.wav,nose.png,
2,result,result.wav,result.png,AudIrre
,,blank.wav,eye.png,
4,adviser,adviser.wav,adviser.png,VisCong
,,blank.wav,x.png,
7,harp,harp.wav,harp.png,VisNoG
