tag,English,AudioFile,Icon,Modality
    ,,blank.wav,ear.png,
4,bachelor,bachelor.wav,bachelor.png,VisIncon
,,blank.wav,x.png,
6,couple,couple.wav,couple.png,VisNoG
,,blank.wav,ear.png,
4,anarchy,anarchy.wav,anarchy.png,VisIncon
,,blank.wav,eye.png,
8,effect,effect.wav,effect.png,AudIncon
,,blank.wav,ear.png,
7,harp,harp.wav,harp.png,AudCong
,,blank.wav,nose.png,
5,massage,massage.wav,massage.png,VisIrre
,,blank.wav,eye.png,
8,scarf,scarf.wav,scarf.png,AudIncon
,,blank.wav,x.png,
2,astronaut,astronaut.wav,astronaut.png,AudNoG
,,blank.wav,nose.png,
1,diamond,diamond.wav,diamond.png,AudIrre
,,blank.wav,ear.png,
7,butcher,butcher.wav,butcher.png,AudCong
,,blank.wav,ear.png,
4,adviser,adviser.wav,adviser.png,VisIncon
,,blank.wav,ear.png,
4,church,church.wav,church.png,VisIncon
,,blank.wav,nose.png,
1,truth,truth.wav,truth.png,AudIrre
,,blank.wav,x.png,
6,germ,germ.wav,germ.png,VisNoG
,,blank.wav,nose.png,
5,eruption,eruption.wav,eruption.png,VisIrre
,,blank.wav,nose.png,
5,martian,martian.wav,martian.png,VisIrre
,,blank.wav,eye.png,
8,language,language.wav,language.png,AudIncon
,,blank.wav,ear.png,
7,movement,movement.wav,movement.png,AudCong
,,blank.wav,x.png,
2,eyebrow,eyebrow.wav,eyebrow.png,AudNoG
,,blank.wav,x.png,
2,butterfly,butterfly.wav,butterfly.png,AudNoG
,,blank.wav,ear.png,
7,hand,hand.wav,hand.png,AudCong
,,blank.wav,ear.png,
4,government,government.wav,government.png,VisIncon
,,blank.wav,eye.png,
8,dinosaur,dinosaur.wav,dinosaur.png,AudIncon
,,blank.wav,nose.png,
5,system,system.wav,system.png,VisIrre
,,blank.wav,eye.png,
3,crib,crib.wav,crib.png,VisCong
,,blank.wav,x.png,
2,result,result.wav,result.png,AudNoG
,,blank.wav,x.png,
6,teacher,teacher.wav,teacher.png,VisNoG
,,blank.wav,x.png,
2,water,water.wav,water.png,AudNoG
,,blank.wav,eye.png,
3,bruise,bruise.wav,bruise.png,VisCong
,,blank.wav,nose.png,
1,frog,frog.wav,frog.png,AudIrre
,,blank.wav,eye.png,
3,success,success.wav,success.png,VisCong
,,blank.wav,eye.png,
8,vowel,vowel.wav,vowel.png,AudIncon
,,blank.wav,eye.png,
3,fireman,fireman.wav,fireman.png,VisCong
,,blank.wav,x.png,
6,function,function.wav,function.png,VisNoG
,,blank.wav,nose.png,
1,accordion,accordion.wav,accordion.png,AudIrre
,,blank.wav,x.png,
6,community,community.wav,community.png,VisNoG
,,blank.wav,ear.png,
7,cork,cork.wav,cork.png,AudCong
,,blank.wav,nose.png,
1,symptom,symptom.wav,symptom.png,AudIrre
,,blank.wav,eye.png,
3,distance,distance.wav,distance.png,VisCong
,,blank.wav,nose.png,
5,pet,pet.wav,pet.png,VisIrre
