tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
2,name,blank.wav,name.png,VisIrre
,,blank.wav,vis.png,
5,spirit,spirit.wav,blank.png,AudIncon
,,blank.wav,nose.png,
2,response,blank.wav,response.png,VisIrre
,,blank.wav,nose.png,
2,geology,blank.wav,geology.png,VisIrre
,,blank.wav,aud.png,
4,room,room.wav,blank.png,AudCong
,,blank.wav,nose.png,
6,kitchen,kitchen.wav,blank.png,AudIrre
,,blank.wav,x.png,
7,year,year.wav,blank.png,AudNoG
,,blank.wav,aud.png,
1,course,blank.wav,course.png,VisIncon
,,blank.wav,vis.png,
8,time,blank.wav,time.png,VisCong
,,blank.wav,nose.png,
6,elephant,elephant.wav,blank.png,AudIrre
,,blank.wav,vis.png,
5,sun,sun.wav,blank.png,AudIncon
,,blank.wav,vis.png,
8,defendant,blank.wav,defendant.png,VisCong
,,blank.wav,vis.png,
8,peace,blank.wav,peace.png,VisCong
,,blank.wav,aud.png,
1,oatmeal,blank.wav,oatmeal.png,VisIncon
,,blank.wav,x.png,
3,carpenter,blank.wav,carpenter.png,VisNoG
,,blank.wav,aud.png,
4,carrot,carrot.wav,blank.png,AudCong
,,blank.wav,aud.png,
4,activity,activity.wav,blank.png,AudCong
,,blank.wav,nose.png,
6,rib,rib.wav,blank.png,AudIrre
,,blank.wav,x.png,
3,wrinkle,blank.wav,wrinkle.png,VisNoG
,,blank.wav,x.png,
7,dolphin,dolphin.wav,blank.png,AudNoG
,,blank.wav,x.png,
3,presence,blank.wav,presence.png,VisNoG
,,blank.wav,aud.png,
4,alphabet,alphabet.wav,blank.png,AudCong
,,blank.wav,x.png,
7,structure,structure.wav,blank.png,AudNoG
,,blank.wav,nose.png,
2,point,blank.wav,point.png,VisIrre
,,blank.wav,x.png,
7,book,book.wav,blank.png,AudNoG
,,blank.wav,nose.png,
6,spoon,spoon.wav,blank.png,AudIrre
,,blank.wav,vis.png,
8,pyramid,blank.wav,pyramid.png,VisCong
,,blank.wav,nose.png,
2,effort,blank.wav,effort.png,VisIrre
,,blank.wav,aud.png,
1,loser,blank.wav,loser.png,VisIncon
,,blank.wav,vis.png,
5,clinic,clinic.wav,blank.png,AudIncon
,,blank.wav,vis.png,
5,baptism,baptism.wav,blank.png,AudIncon
,,blank.wav,nose.png,
6,model,model.wav,blank.png,AudIrre
,,blank.wav,aud.png,
4,keyboard,keyboard.wav,blank.png,AudCong
,,blank.wav,x.png,
3,century,blank.wav,century.png,VisNoG
,,blank.wav,aud.png,
1,process,blank.wav,process.png,VisIncon
,,blank.wav,vis.png,
8,ambulance,blank.wav,ambulance.png,VisCong
,,blank.wav,x.png,
7,mechanic,mechanic.wav,blank.png,AudNoG
,,blank.wav,vis.png,
5,rectangle,rectangle.wav,blank.png,AudIncon
,,blank.wav,aud.png,
1,pineapple,blank.wav,pineapple.png,VisIncon
,,blank.wav,x.png,
3,neck,blank.wav,neck.png,VisNoG
