tag,English,AudioFile,Icon,Modality
,,blank.wav,aud.png,
1,umbrella,umbrella.wav,blank.png,AudCong
,,blank.wav,aud.png,
1,turtle,turtle.wav,blank.png,AudCong
,,blank.wav,x.png,
4,kidney,kidney.wav,blank.png,AudNoG
,,blank.wav,x.png,
8,idol,blank.wav,idol.png,VisNoG
,,blank.wav,x.png,
4,sponge,sponge.wav,blank.png,AudNoG
,,blank.wav,aud.png,
6,night,blank.wav,night.png,VisIncon
,,blank.wav,x.png,
4,earth,earth.wav,blank.png,AudNoG
,,blank.wav,nose.png,
7,moment,blank.wav,moment.png,VisIrre
,,blank.wav,nose.png,
3,flu,flu.wav,blank.png,AudIrre
,,blank.wav,aud.png,
1,mother,mother.wav,blank.png,AudCong
,,blank.wav,vis.png,
5,death,blank.wav,death.png,VisCong
,,blank.wav,vis.png,
5,liar,blank.wav,liar.png,VisCong
,,blank.wav,nose.png,
3,glue,glue.wav,blank.png,AudIrre
,,blank.wav,vis.png,
5,ankle,blank.wav,ankle.png,VisCong
,,blank.wav,nose.png,
7,fire,blank.wav,fire.png,VisIrre
,,blank.wav,aud.png,
6,paper,blank.wav,paper.png,VisIncon
,,blank.wav,nose.png,
3,pronoun,pronoun.wav,blank.png,AudIrre
,,blank.wav,aud.png,
6,art,blank.wav,art.png,VisIncon
,,blank.wav,vis.png,
2,celery,celery.wav,blank.png,AudIncon
,,blank.wav,nose.png,
3,hammock,hammock.wav,blank.png,AudIrre
,,blank.wav,vis.png,
5,love,blank.wav,love.png,VisCong
,,blank.wav,vis.png,
2,island,island.wav,blank.png,AudIncon
,,blank.wav,aud.png,
6,athlete,blank.wav,athlete.png,VisIncon
,,blank.wav,vis.png,
5,volcano,blank.wav,volcano.png,VisCong
,,blank.wav,x.png,
8,alligator,blank.wav,alligator.png,VisNoG
,,blank.wav,nose.png,
7,bakery,blank.wav,bakery.png,VisIrre
,,blank.wav,x.png,
8,galaxy,blank.wav,galaxy.png,VisNoG
,,blank.wav,x.png,
8,condition,blank.wav,condition.png,VisNoG
,,blank.wav,nose.png,
7,flea,blank.wav,flea.png,VisIrre
,,blank.wav,vis.png,
2,woman,woman.wav,blank.png,AudIncon
,,blank.wav,aud.png,
1,pumpkin,pumpkin.wav,blank.png,AudCong
,,blank.wav,aud.png,
1,window,window.wav,blank.png,AudCong
,,blank.wav,x.png,
4,secret,secret.wav,blank.png,AudNoG
,,blank.wav,nose.png,
3,theory,theory.wav,blank.png,AudIrre
,,blank.wav,aud.png,
6,heart,blank.wav,heart.png,VisIncon
,,blank.wav,nose.png,
7,mayonnaise,blank.wav,mayonnaise.png,VisIrre
,,blank.wav,x.png,
4,interest,interest.wav,blank.png,AudNoG
,,blank.wav,vis.png,
2,bucket,bucket.wav,blank.png,AudIncon
,,blank.wav,vis.png,
2,age,age.wav,blank.png,AudIncon
,,blank.wav,x.png,
8,tiger,blank.wav,tiger.png,VisNoG
