tag,English,AudioFile,Icon,Modality
    ,,blank.wav,ear.png,
8,pyramid,pyramid.wav,pyramid.png,AudCong
,,blank.wav,nose.png,
6,rib,rib.wav,rib.png,VisIrre
,,blank.wav,eye.png,
4,alphabet,alphabet.wav,alphabet.png,VisCong
,,blank.wav,ear.png,
5,sun,sun.wav,sun.png,VisIncon
,,blank.wav,ear.png,
8,ambulance,ambulance.wav,ambulance.png,AudCong
,,blank.wav,eye.png,
4,room,room.wav,room.png,VisCong
,,blank.wav,nose.png,
6,kitchen,kitchen.wav,kitchen.png,VisIrre
,,blank.wav,ear.png,
8,peace,peace.wav,peace.png,AudCong
,,blank.wav,eye.png,
1,course,course.wav,course.png,AudIncon
,,blank.wav,x.png,
7,year,year.wav,year.png,VisNoG
,,blank.wav,nose.png,
2,effort,effort.wav,effort.png,AudIrre
,,blank.wav,x.png,
7,mechanic,mechanic.wav,mechanic.png,VisNoG
,,blank.wav,x.png,
7,structure,structure.wav,structure.png,VisNoG
,,blank.wav,nose.png,
6,spoon,spoon.wav,spoon.png,VisIrre
,,blank.wav,ear.png,
5,rectangle,rectangle.wav,rectangle.png,VisIncon
,,blank.wav,nose.png,
6,model,model.wav,model.png,VisIrre
,,blank.wav,x.png,
7,dolphin,dolphin.wav,dolphin.png,VisNoG
,,blank.wav,eye.png,
1,loser,loser.wav,loser.png,AudIncon
,,blank.wav,x.png,
7,book,book.wav,book.png,VisNoG
,,blank.wav,ear.png,
5,baptism,baptism.wav,baptism.png,VisIncon
,,blank.wav,x.png,
3,neck,neck.wav,neck.png,AudNoG
,,blank.wav,eye.png,
1,oatmeal,oatmeal.wav,oatmeal.png,AudIncon
,,blank.wav,eye.png,
4,keyboard,keyboard.wav,keyboard.png,VisCong
,,blank.wav,ear.png,
8,defendant,defendant.wav,defendant.png,AudCong
,,blank.wav,nose.png,
6,elephant,elephant.wav,elephant.png,VisIrre
,,blank.wav,eye.png,
4,activity,activity.wav,activity.png,VisCong
,,blank.wav,ear.png,
5,spirit,spirit.wav,spirit.png,VisIncon
,,blank.wav,x.png,
3,presence,presence.wav,presence.png,AudNoG
,,blank.wav,nose.png,
2,name,name.wav,name.png,AudIrre
,,blank.wav,ear.png,
8,time,time.wav,time.png,AudCong
,,blank.wav,eye.png,
1,pineapple,pineapple.wav,pineapple.png,AudIncon
,,blank.wav,x.png,
3,carpenter,carpenter.wav,carpenter.png,AudNoG
,,blank.wav,ear.png,
5,clinic,clinic.wav,clinic.png,VisIncon
,,blank.wav,nose.png,
2,point,point.wav,point.png,AudIrre
,,blank.wav,nose.png,
2,response,response.wav,response.png,AudIrre
,,blank.wav,eye.png,
4,carrot,carrot.wav,carrot.png,VisCong
,,blank.wav,x.png,
3,wrinkle,wrinkle.wav,wrinkle.png,AudNoG
,,blank.wav,nose.png,
2,geology,geology.wav,geology.png,AudIrre
,,blank.wav,eye.png,
1,process,process.wav,process.png,AudIncon
,,blank.wav,x.png,
3,century,century.wav,century.png,AudNoG
