tag,English,AudioFile,Icon,Modality
    ,,blank.wav,vis.png,
3,term,blank.wav,term.png,VisCong
,,blank.wav,nose.png,
1,world,world.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,eraser,eraser.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,person,blank.wav,person.png,VisNoG
,,blank.wav,vis.png,
8,biologist,biologist.wav,blank.png,AudIncon
,,blank.wav,aud.png,
4,month,blank.wav,month.png,VisIncon
,,blank.wav,vis.png,
3,nature,blank.wav,nature.png,VisCong
,,blank.wav,vis.png,
8,syringe,syringe.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,filter,filter.wav,blank.png,AudNoG
,,blank.wav,vis.png,
8,energy,energy.wav,blank.png,AudIncon
,,blank.wav,nose.png,
5,existence,blank.wav,existence.png,VisIrre
,,blank.wav,nose.png,
1,freezer,freezer.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,price,price.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,worm,blank.wav,worm.png,VisNoG
,,blank.wav,vis.png,
3,man,blank.wav,man.png,VisCong
,,blank.wav,vis.png,
3,hail,blank.wav,hail.png,VisCong
,,blank.wav,aud.png,
4,security,blank.wav,security.png,VisIncon
,,blank.wav,nose.png,
5,spy,blank.wav,spy.png,VisIrre
,,blank.wav,aud.png,
7,eye,eye.wav,blank.png,AudCong
,,blank.wav,x.png,
2,action,action.wav,blank.png,AudNoG
,,blank.wav,x.png,
6,agility,blank.wav,agility.png,VisNoG
,,blank.wav,aud.png,
7,space,space.wav,blank.png,AudCong
,,blank.wav,aud.png,
7,company,company.wav,blank.png,AudCong
,,blank.wav,x.png,
2,direction,direction.wav,blank.png,AudNoG
,,blank.wav,vis.png,
3,group,blank.wav,group.png,VisCong
,,blank.wav,nose.png,
5,difference,blank.wav,difference.png,VisIrre
,,blank.wav,aud.png,
4,father,blank.wav,father.png,VisIncon
,,blank.wav,x.png,
6,bookcase,blank.wav,bookcase.png,VisNoG
,,blank.wav,nose.png,
1,lobster,lobster.wav,blank.png,AudIrre
,,blank.wav,nose.png,
5,chalk,blank.wav,chalk.png,VisIrre
,,blank.wav,nose.png,
5,class,blank.wav,class.png,VisIrre
,,blank.wav,x.png,
2,coffin,coffin.wav,blank.png,AudNoG
,,blank.wav,aud.png,
7,head,head.wav,blank.png,AudCong
,,blank.wav,vis.png,
8,capacity,capacity.wav,blank.png,AudIncon
,,blank.wav,x.png,
6,rhyme,blank.wav,rhyme.png,VisNoG
,,blank.wav,vis.png,
8,strength,strength.wav,blank.png,AudIncon
,,blank.wav,aud.png,
4,ounce,blank.wav,ounce.png,VisIncon
,,blank.wav,x.png,
2,caramel,caramel.wav,blank.png,AudNoG
,,blank.wav,aud.png,
4,yesterday,blank.wav,yesterday.png,VisIncon
,,blank.wav,aud.png,
7,fear,fear.wav,blank.png,AudCong
