tag,English,AudioFile,Icon,Modality
    ,,blank.wav,aud.png,
4,interest,blank.wav,interest.png,VisIncon
,,blank.wav,vis.png,
8,alligator,alligator.wav,blank.png,AudIncon
,,blank.wav,aud.png,
7,bakery,bakery.wav,blank.png,AudCong
,,blank.wav,vis.png,
3,hammock,blank.wav,hammock.png,VisCong
,,blank.wav,vis.png,
8,condition,condition.wav,blank.png,AudIncon
,,blank.wav,aud.png,
4,earth,blank.wav,earth.png,VisIncon
,,blank.wav,vis.png,
8,idol,idol.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,bucket,bucket.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,turtle,turtle.wav,blank.png,AudIrre
,,blank.wav,aud.png,
7,mayonnaise,mayonnaise.wav,blank.png,AudCong
,,blank.wav,aud.png,
7,fire,fire.wav,blank.png,AudCong
,,blank.wav,vis.png,
3,theory,blank.wav,theory.png,VisCong
,,blank.wav,nose.png,
1,pumpkin,pumpkin.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,umbrella,umbrella.wav,blank.png,AudIrre
,,blank.wav,x.png,
2,age,age.wav,blank.png,AudNoG
,,blank.wav,x.png,
6,art,blank.wav,art.png,VisNoG
,,blank.wav,nose.png,
5,volcano,blank.wav,volcano.png,VisIrre
,,blank.wav,aud.png,
7,flea,flea.wav,blank.png,AudCong
,,blank.wav,aud.png,
7,moment,moment.wav,blank.png,AudCong
,,blank.wav,nose.png,
5,ankle,blank.wav,ankle.png,VisIrre
,,blank.wav,x.png,
6,paper,blank.wav,paper.png,VisNoG
,,blank.wav,x.png,
6,athlete,blank.wav,athlete.png,VisNoG
,,blank.wav,nose.png,
5,love,blank.wav,love.png,VisIrre
,,blank.wav,x.png,
2,island,island.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,mother,mother.wav,blank.png,AudIrre
,,blank.wav,nose.png,
5,death,blank.wav,death.png,VisIrre
,,blank.wav,vis.png,
8,tiger,tiger.wav,blank.png,AudIncon
,,blank.wav,nose.png,
5,liar,blank.wav,liar.png,VisIrre
,,blank.wav,x.png,
2,celery,celery.wav,blank.png,AudNoG
,,blank.wav,x.png,
2,woman,woman.wav,blank.png,AudNoG
,,blank.wav,x.png,
6,night,blank.wav,night.png,VisNoG
,,blank.wav,aud.png,
4,sponge,blank.wav,sponge.png,VisIncon
,,blank.wav,nose.png,
1,window,window.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,heart,blank.wav,heart.png,VisNoG
,,blank.wav,vis.png,
3,pronoun,blank.wav,pronoun.png,VisCong
,,blank.wav,aud.png,
4,kidney,blank.wav,kidney.png,VisIncon
,,blank.wav,aud.png,
4,secret,blank.wav,secret.png,VisIncon
,,blank.wav,vis.png,
3,glue,blank.wav,glue.png,VisCong
,,blank.wav,vis.png,
3,flu,blank.wav,flu.png,VisCong
,,blank.wav,vis.png,
8,galaxy,galaxy.wav,blank.png,AudIncon
