tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
1,oatmeal,blank.wav,oatmeal.png,VisIrre
,,blank.wav,vis.png,
7,dolphin,blank.wav,dolphin.png,VisCong
,,blank.wav,vis.png,
4,keyboard,keyboard.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,response,blank.wav,response.png,VisNoG
,,blank.wav,x.png,
2,effort,blank.wav,effort.png,VisNoG
,,blank.wav,x.png,
6,kitchen,kitchen.wav,blank.png,AudNoG
,,blank.wav,vis.png,
7,mechanic,blank.wav,mechanic.png,VisCong
,,blank.wav,nose.png,
1,process,blank.wav,process.png,VisIrre
,,blank.wav,vis.png,
4,room,room.wav,blank.png,AudIncon
,,blank.wav,x.png,
2,geology,blank.wav,geology.png,VisNoG
,,blank.wav,aud.png,
8,peace,blank.wav,peace.png,VisIncon
,,blank.wav,nose.png,
1,pineapple,blank.wav,pineapple.png,VisIrre
,,blank.wav,vis.png,
7,year,blank.wav,year.png,VisCong
,,blank.wav,aud.png,
8,ambulance,blank.wav,ambulance.png,VisIncon
,,blank.wav,nose.png,
1,course,blank.wav,course.png,VisIrre
,,blank.wav,aud.png,
8,time,blank.wav,time.png,VisIncon
,,blank.wav,x.png,
6,spoon,spoon.wav,blank.png,AudNoG
,,blank.wav,nose.png,
5,baptism,baptism.wav,blank.png,AudIrre
,,blank.wav,x.png,
2,point,blank.wav,point.png,VisNoG
,,blank.wav,aud.png,
8,defendant,blank.wav,defendant.png,VisIncon
,,blank.wav,aud.png,
3,presence,presence.wav,blank.png,AudCong
,,blank.wav,aud.png,
8,pyramid,blank.wav,pyramid.png,VisIncon
,,blank.wav,vis.png,
7,book,blank.wav,book.png,VisCong
,,blank.wav,x.png,
6,elephant,elephant.wav,blank.png,AudNoG
,,blank.wav,x.png,
6,model,model.wav,blank.png,AudNoG
,,blank.wav,nose.png,
5,rectangle,rectangle.wav,blank.png,AudIrre
,,blank.wav,aud.png,
3,wrinkle,wrinkle.wav,blank.png,AudCong
,,blank.wav,vis.png,
4,activity,activity.wav,blank.png,AudIncon
,,blank.wav,vis.png,
4,carrot,carrot.wav,blank.png,AudIncon
,,blank.wav,nose.png,
1,loser,blank.wav,loser.png,VisIrre
,,blank.wav,aud.png,
3,carpenter,carpenter.wav,blank.png,AudCong
,,blank.wav,aud.png,
3,neck,neck.wav,blank.png,AudCong
,,blank.wav,nose.png,
5,clinic,clinic.wav,blank.png,AudIrre
,,blank.wav,x.png,
2,name,blank.wav,name.png,VisNoG
,,blank.wav,aud.png,
3,century,century.wav,blank.png,AudCong
,,blank.wav,vis.png,
7,structure,blank.wav,structure.png,VisCong
,,blank.wav,vis.png,
4,alphabet,alphabet.wav,blank.png,AudIncon
,,blank.wav,nose.png,
5,spirit,spirit.wav,blank.png,AudIrre
,,blank.wav,nose.png,
5,sun,sun.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,rib,rib.wav,blank.png,AudNoG
