tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
4,keyboard,keyboard.wav,blank.png,AudIrre
,,blank.wav,x.png,
1,loser,blank.wav,loser.png,VisNoG
,,blank.wav,aud.png,
2,geology,geology.wav,blank.png,AudCong
,,blank.wav,nose.png,
8,defendant,blank.wav,defendant.png,VisIrre
,,blank.wav,nose.png,
4,carrot,carrot.wav,blank.png,AudIrre
,,blank.wav,x.png,
5,spirit,spirit.wav,blank.png,AudNoG
,,blank.wav,x.png,
5,clinic,clinic.wav,blank.png,AudNoG
,,blank.wav,nose.png,
4,room,room.wav,blank.png,AudIrre
,,blank.wav,aud.png,
7,mechanic,blank.wav,mechanic.png,VisIncon
,,blank.wav,aud.png,
7,structure,blank.wav,structure.png,VisIncon
,,blank.wav,x.png,
1,oatmeal,blank.wav,oatmeal.png,VisNoG
,,blank.wav,vis.png,
6,rib,blank.wav,rib.png,VisCong
,,blank.wav,nose.png,
8,peace,blank.wav,peace.png,VisIrre
,,blank.wav,nose.png,
8,ambulance,blank.wav,ambulance.png,VisIrre
,,blank.wav,aud.png,
2,effort,effort.wav,blank.png,AudCong
,,blank.wav,x.png,
5,sun,sun.wav,blank.png,AudNoG
,,blank.wav,vis.png,
3,neck,neck.wav,blank.png,AudIncon
,,blank.wav,x.png,
5,baptism,baptism.wav,blank.png,AudNoG
,,blank.wav,x.png,
1,pineapple,blank.wav,pineapple.png,VisNoG
,,blank.wav,nose.png,
8,time,blank.wav,time.png,VisIrre
,,blank.wav,vis.png,
6,kitchen,blank.wav,kitchen.png,VisCong
,,blank.wav,vis.png,
3,presence,presence.wav,blank.png,AudIncon
,,blank.wav,x.png,
5,rectangle,rectangle.wav,blank.png,AudNoG
,,blank.wav,aud.png,
7,dolphin,blank.wav,dolphin.png,VisIncon
,,blank.wav,vis.png,
3,wrinkle,wrinkle.wav,blank.png,AudIncon
,,blank.wav,aud.png,
2,point,point.wav,blank.png,AudCong
,,blank.wav,nose.png,
4,activity,activity.wav,blank.png,AudIrre
,,blank.wav,nose.png,
4,alphabet,alphabet.wav,blank.png,AudIrre
,,blank.wav,aud.png,
7,book,blank.wav,book.png,VisIncon
,,blank.wav,x.png,
1,course,blank.wav,course.png,VisNoG
,,blank.wav,vis.png,
6,model,blank.wav,model.png,VisCong
,,blank.wav,nose.png,
8,pyramid,blank.wav,pyramid.png,VisIrre
,,blank.wav,vis.png,
3,carpenter,carpenter.wav,blank.png,AudIncon
,,blank.wav,aud.png,
7,year,blank.wav,year.png,VisIncon
,,blank.wav,aud.png,
2,response,response.wav,blank.png,AudCong
,,blank.wav,vis.png,
6,spoon,blank.wav,spoon.png,VisCong
,,blank.wav,aud.png,
2,name,name.wav,blank.png,AudCong
,,blank.wav,vis.png,
6,elephant,blank.wav,elephant.png,VisCong
,,blank.wav,vis.png,
3,century,century.wav,blank.png,AudIncon
,,blank.wav,x.png,
1,process,blank.wav,process.png,VisNoG
