tag,English,AudioFile,Icon,Modality
    ,,blank.wav,eye.png,
6,night,night.wav,night.png,AudIncon
,,blank.wav,ear.png,
2,age,age.wav,age.png,VisIncon
,,blank.wav,x.png,
4,kidney,kidney.wav,kidney.png,VisNoG
,,blank.wav,eye.png,
1,window,window.wav,window.png,VisCong
,,blank.wav,nose.png,
7,mayonnaise,mayonnaise.wav,mayonnaise.png,AudIrre
,,blank.wav,ear.png,
5,ankle,ankle.wav,ankle.png,AudCong
,,blank.wav,x.png,
8,condition,condition.wav,condition.png,AudNoG
,,blank.wav,nose.png,
7,moment,moment.wav,moment.png,AudIrre
,,blank.wav,nose.png,
3,pronoun,pronoun.wav,pronoun.png,VisIrre
,,blank.wav,nose.png,
3,theory,theory.wav,theory.png,VisIrre
,,blank.wav,x.png,
4,secret,secret.wav,secret.png,VisNoG
,,blank.wav,ear.png,
2,island,island.wav,island.png,VisIncon
,,blank.wav,eye.png,
6,art,art.wav,art.png,AudIncon
,,blank.wav,nose.png,
7,fire,fire.wav,fire.png,AudIrre
,,blank.wav,x.png,
8,alligator,alligator.wav,alligator.png,AudNoG
,,blank.wav,ear.png,
5,love,love.wav,love.png,AudCong
,,blank.wav,ear.png,
2,woman,woman.wav,woman.png,VisIncon
,,blank.wav,nose.png,
3,glue,glue.wav,glue.png,VisIrre
,,blank.wav,eye.png,
6,paper,paper.wav,paper.png,AudIncon
,,blank.wav,x.png,
8,tiger,tiger.wav,tiger.png,AudNoG
,,blank.wav,eye.png,
6,heart,heart.wav,heart.png,AudIncon
,,blank.wav,eye.png,
1,umbrella,umbrella.wav,umbrella.png,VisCong
,,blank.wav,eye.png,
1,turtle,turtle.wav,turtle.png,VisCong
,,blank.wav,nose.png,
7,flea,flea.wav,flea.png,AudIrre
,,blank.wav,x.png,
8,idol,idol.wav,idol.png,AudNoG
,,blank.wav,x.png,
8,galaxy,galaxy.wav,galaxy.png,AudNoG
,,blank.wav,eye.png,
6,athlete,athlete.wav,athlete.png,AudIncon
,,blank.wav,ear.png,
2,bucket,bucket.wav,bucket.png,VisIncon
,,blank.wav,nose.png,
3,flu,flu.wav,flu.png,VisIrre
,,blank.wav,x.png,
4,sponge,sponge.wav,sponge.png,VisNoG
,,blank.wav,nose.png,
7,bakery,bakery.wav,bakery.png,AudIrre
,,blank.wav,ear.png,
5,liar,liar.wav,liar.png,AudCong
,,blank.wav,ear.png,
2,celery,celery.wav,celery.png,VisIncon
,,blank.wav,ear.png,
5,volcano,volcano.wav,volcano.png,AudCong
,,blank.wav,x.png,
4,interest,interest.wav,interest.png,VisNoG
,,blank.wav,ear.png,
5,death,death.wav,death.png,AudCong
,,blank.wav,eye.png,
1,pumpkin,pumpkin.wav,pumpkin.png,VisCong
,,blank.wav,nose.png,
3,hammock,hammock.wav,hammock.png,VisIrre
,,blank.wav,x.png,
4,earth,earth.wav,earth.png,VisNoG
,,blank.wav,eye.png,
1,mother,mother.wav,mother.png,VisCong
