tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
8,dinosaur,dinosaur.wav,blank.png,AudNoG
,,blank.wav,x.png,
8,effect,effect.wav,blank.png,AudNoG
,,blank.wav,vis.png,
1,symptom,blank.wav,symptom.png,VisCong
,,blank.wav,nose.png,
7,movement,movement.wav,blank.png,AudIrre
,,blank.wav,nose.png,
3,fireman,blank.wav,fireman.png,VisIrre
,,blank.wav,vis.png,
6,germ,germ.wav,blank.png,AudIncon
,,blank.wav,nose.png,
3,bruise,blank.wav,bruise.png,VisIrre
,,blank.wav,vis.png,
1,diamond,blank.wav,diamond.png,VisCong
,,blank.wav,nose.png,
7,cork,cork.wav,blank.png,AudIrre
,,blank.wav,x.png,
4,anarchy,blank.wav,anarchy.png,VisNoG
,,blank.wav,aud.png,
2,eyebrow,blank.wav,eyebrow.png,VisIncon
,,blank.wav,aud.png,
5,pet,pet.wav,blank.png,AudCong
,,blank.wav,aud.png,
5,eruption,eruption.wav,blank.png,AudCong
,,blank.wav,vis.png,
1,frog,blank.wav,frog.png,VisCong
,,blank.wav,aud.png,
2,butterfly,blank.wav,butterfly.png,VisIncon
,,blank.wav,x.png,
4,bachelor,blank.wav,bachelor.png,VisNoG
,,blank.wav,aud.png,
2,water,blank.wav,water.png,VisIncon
,,blank.wav,nose.png,
7,harp,harp.wav,blank.png,AudIrre
,,blank.wav,vis.png,
6,couple,couple.wav,blank.png,AudIncon
,,blank.wav,vis.png,
6,community,community.wav,blank.png,AudIncon
,,blank.wav,nose.png,
3,success,blank.wav,success.png,VisIrre
,,blank.wav,vis.png,
6,teacher,teacher.wav,blank.png,AudIncon
,,blank.wav,aud.png,
2,astronaut,blank.wav,astronaut.png,VisIncon
,,blank.wav,nose.png,
7,hand,hand.wav,blank.png,AudIrre
,,blank.wav,nose.png,
7,butcher,butcher.wav,blank.png,AudIrre
,,blank.wav,vis.png,
1,truth,blank.wav,truth.png,VisCong
,,blank.wav,x.png,
4,church,blank.wav,church.png,VisNoG
,,blank.wav,x.png,
8,vowel,vowel.wav,blank.png,AudNoG
,,blank.wav,vis.png,
1,accordion,blank.wav,accordion.png,VisCong
,,blank.wav,nose.png,
3,distance,blank.wav,distance.png,VisIrre
,,blank.wav,aud.png,
5,system,system.wav,blank.png,AudCong
,,blank.wav,x.png,
8,scarf,scarf.wav,blank.png,AudNoG
,,blank.wav,x.png,
8,language,language.wav,blank.png,AudNoG
,,blank.wav,aud.png,
2,result,blank.wav,result.png,VisIncon
,,blank.wav,vis.png,
6,function,function.wav,blank.png,AudIncon
,,blank.wav,aud.png,
5,martian,martian.wav,blank.png,AudCong
,,blank.wav,x.png,
4,adviser,blank.wav,adviser.png,VisNoG
,,blank.wav,aud.png,
5,massage,massage.wav,blank.png,AudCong
,,blank.wav,x.png,
4,government,blank.wav,government.png,VisNoG
,,blank.wav,nose.png,
3,crib,blank.wav,crib.png,VisIrre
